       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance RPM Range ===========================
    (Note: Max rpm may exceed structural capability) 

APC Prop                                 Min       Max
525x625E                                1000     35000
525x8E                                  1000     34000
52x60E                                  1000     33000
55x2                                    1000     40000
55x25                                   1000     39000
55x45E                                  1000     35000
55x47E                                  1000     35000
55x65E                                  1000     33000
55x70                                   1000     41000
57x3                                    1000     42000
5x3                                     1000     45000
5x37E-3                                 1000     40000
5x3E                                    1000     41000
5x41SF                                  1000     37000
5x43E                                   1000     37000
5x45E                                   1000     38000
5x46E                                   1000     30000
5x4E-3                                  1000     36000
5x4E-4                                  1000     37000
5x4R-RH                                 1000     23000
5x5E                                    1000     38000
5x5F                                    1000     38000
5x75E                                   1000     36000
63x4                                    1000     35000
65x29                                   1000     37000
65x37                                   1000     36000
65x50                                   1000     31000
65x55                                   1000     31000
65x60                                   1000     31000
65x65                                   1000     31000
65x70                                   1000     30000
65x75                                   1000     30000
6x2                                     1000     41000
6x3                                     1000     40000
6x31SF                                  1000     34000
6x3F                                    1000     38000
6x3R-RH                                 1000     35000
6x4                                     1000     37000
6x41SF                                  1000     32000
6x42E-3                                 1000     40000
6x45E                                   1000     27000
6x4E                                    1000     33000
6x5                                     1000     33000
6x55E                                   1000     32000
6x6E                                    1000     32000
74x75C                                  1000     32000
74x76C                                  1000     32000
74x77C                                  1000     32000
78x4                                    1000     31000
78x6                                    1000     26000
78x7                                    1000     25000
7x10                                    1000     28000
7x11E                                   1000     26000
7x3                                     1000     32000
7x38WSF                                 1000     32000
7x4                                     1000     30000
7x41SF                                  1000     27000
7x4E                                    1000     29000
7x4F                                    1000     34000
7x4SF                                   1000     32000
7x5                                     1000     29000
7x5E                                    1000     28000
7x5SF                                   1000     31000
7x6                                     1000     29000
7x6E                                    1000     27000
7x6F                                    1000     30000
7x6SF                                   1000     30000
7x6W                                    1000     33000
7x7                                     1000     30000
7x7E                                    1000     27000
7x8                                     1000     31000
7x9                                     1000     32000
8625x375                                1000     28000
875x50                                  1000     24000
875x70N                                 1000     23000
875x75N                                 1000     23000
875x75NN                                1000     26000
875x75W                                 1000     23000
875x775NN                               1000     27000
875x80NN                                1000     27000
875x825NN                               1000     27000
875x85N                                 1000     23000
875x875NN                               1000     27000
875x875W                                1000     24000
875x90NN                                1000     27000
875x90W                                 1000     22000
875x925NN                               1000     27000
875x925W                                1000     24000
88x85                                   1000     22000
88x875                                  1000     22000
88x89                                   1000     21000
88x90                                   1000     27000
88x925                                  1000     22000
88x95                                   1000     22000
88x975                                  1000     22000
8x10                                    1000     28000
8x375                                   1000     30000
8x38SF                                  1000     29000
8x4                                     1000     26000
8x41SF                                  1000     28000
8x42SFR                                 1000     31000
8x45MR                                  1000     26000
8x47SF                                  1000     28000
8x4E                                    1000     26000
8x4F                                    1000     26000
8x5                                     1000     25000
8x6                                     1000     25000
8x6E                                    1000     25000
8x6SF                                   1000     27000
8x7                                     1000     25000
8x73                                    1000     29000
8x8                                     1000     25000
8x8E                                    1000     24000
8x9                                     1000     28000
925x60                                  1000     26000
93x3                                    1000     25000
95x45                                   1000     26000
95x5MR                                  1000     23000
95x6                                    1000     24000
95x75N                                  1000     25000
95x7N                                   1000     25000
9625x375N                               1000     25000
9x10                                    1000     24000
9x3                                     1000     26000
9x37SF                                  1000     25000
9x38SF                                  1000     26000
9x3N                                    1000     27000
9x4                                     1000     24000
9x41SF                                  1000     25000
9x44SFR                                 1000     28000
9x45E                                   1000     25000
9x45MR                                  1000     23000
9x45MRF-RH                              1000     26000
9x45R-RH                                1000     24000
9x46SF                                  1000     25000
9x47SF                                  1000     25000
9x5                                     1000     24000
9x5F                                    1000     27000
9x6-4                                   1000     23000
9x6                                     1000     23000
9x65                                    1000     23000
9x6E                                    1000     25000
9x6N                                    1000     26000
9x6SF                                   1000     24000
9x7                                     1000     24000
9x75                                    1000     23000
9x75E                                   1000     23000
9x75SF                                  1000     24000
9x8                                     1000     23000
9x85                                    1000     23000
9x8E-3                                  1000     23000
9x9                                     1000     23000
9x9E                                    1000     22000
